question,golden_answer,generated_answer,evaluation
What is SQL indexing?,SQL indexing is a data structure technique used to quickly locate and access the data in a database table.,"SQL indexing is a data structure (often a B‑tree or hash) that the database creates on one or more table columns to speed up query searches, sorts, and joins by allowing rapid location of rows without scanning the entire table.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 9, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is a primary key?,A primary key is a unique identifier for a record in a database table.,"A primary key is a unique identifier for each record in a database table. It must contain no duplicate values and cannot be null, ensuring each row can be distinctly accessed and referenced.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 9, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is a foreign key?,A foreign key is a field in a database table that links to the primary key of another table.,"A foreign key is a column (or set of columns) in a database table that references the primary key of another table, establishing a link between the two tables and enforcing referential integrity.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 9, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is normalization?,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity.,"Normalization is the process of organizing a database’s tables and relationships to eliminate redundancy and dependency anomalies, ensuring each piece of data is stored only once and logically grouped, which improves data integrity and simplifies maintenance.","{'correctness': 10, 'relevance': 10, 'completeness': 9, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 7, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 9}"
What is denormalization?,Denormalization is the process of combining tables to improve read performance at the cost of write performance and data integrity.,"Denormalization is the intentional addition of redundant data to a normalized database—e.g., merging tables or storing derived values—to reduce joins and improve read/query performance, often at the cost of extra storage and more complex updates.","{'correctness': 9, 'relevance': 10, 'completeness': 9, 'faithfulness': 8, 'hallucination': 10, 'reasoning_quality': 8, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 9}"
What is a composite key?,A composite key is a combination of two or more columns in a database table that uniquely identifies a row in that table.,"A composite key is a primary key formed by combining two or more columns in a database table. The combined values uniquely identify each record, even though none of the individual columns alone would be unique.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 8, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is a surrogate key?,"A surrogate key is an artificial key that is used to uniquely identify a record in a table, often implemented as an auto-incrementing integer.","A surrogate key is an artificial, system‑generated identifier (often an auto‑increment integer or UUID) used as a table’s primary key instead of natural business data. It has no business meaning, is unique, immutable, and simplifies joins and data integration.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 8, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is a natural key?,A natural key is a type of primary key that is formed of attributes that naturally exist and are used to identify a record.,"A natural key is a column (or set of columns) that already exists in the data and uniquely identifies each record based on real‑world attributes—e.g., Social Security Number, email address, or ISBN—rather than an artificial, system‑generated surrogate key.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 8, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is a database schema?,"A database schema is the structure that defines the organization of data in a database, including tables, fields, relationships, and constraints.","A database schema is the organized structure that defines how data is stored in a database—its tables, fields, data types, relationships, constraints, and indexes—essentially the blueprint governing the database’s logical design.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 9, 'hallucination': 10, 'reasoning_quality': 6, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 9}"
What is a database instance?,"A database instance is a specific implementation of a database, including the data and the database management system (DBMS) that manages it.","A database instance is the set of memory structures (buffer cache, shared pool, etc.) and background processes that a DBMS creates when it starts, together with the physical data files it manages. It represents a running, operational copy of the database.","{'correctness': 9, 'relevance': 10, 'completeness': 9, 'faithfulness': 9, 'hallucination': 8, 'reasoning_quality': 7, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 9}"
